epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,8606.29,0.87348,0.62767,0.92791,0.77967,0.73424,0.80126,0.57453,0.96884,0.73761,0.99043,0.0008912,0.0008912,0.0008912
58,8757.27,0.87337,0.63035,0.92867,0.80233,0.71228,0.80013,0.57301,0.97076,0.76025,0.9903,0.0008714,0.0008714,0.0008714
59,8908.45,0.8599,0.61749,0.9239,0.78626,0.71078,0.79239,0.57127,0.97439,0.76225,0.99078,0.0008516,0.0008516,0.0008516
60,9059.43,0.85769,0.61417,0.92218,0.78656,0.72569,0.80306,0.58491,0.95681,0.73317,0.97928,0.0008318,0.0008318,0.0008318
61,9210.6,0.84455,0.60747,0.9167,0.78293,0.71524,0.79964,0.58128,0.96356,0.75161,0.97969,0.000812,0.000812,0.000812
62,9361.54,0.85303,0.61078,0.92203,0.7936,0.72468,0.80119,0.57894,0.97403,0.74499,0.98686,0.0007922,0.0007922,0.0007922
63,9512.44,0.85089,0.5997,0.91963,0.80317,0.70953,0.79925,0.582,0.95864,0.73757,0.98194,0.0007724,0.0007724,0.0007724
64,9663.21,0.8486,0.60653,0.92,0.77676,0.73899,0.80518,0.58179,0.96247,0.75263,0.98472,0.0007526,0.0007526,0.0007526
65,9814.18,0.84702,0.60012,0.91858,0.77711,0.74913,0.80838,0.58518,0.96177,0.733,0.98153,0.0007328,0.0007328,0.0007328
66,9965.1,0.84889,0.60237,0.91174,0.77189,0.7396,0.8034,0.57862,0.96469,0.73331,0.98985,0.000713,0.000713,0.000713
67,10116,0.83317,0.59351,0.91349,0.79228,0.71283,0.80209,0.58249,0.95753,0.73964,0.98551,0.0006932,0.0006932,0.0006932
68,10266.8,0.82083,0.58239,0.90982,0.78629,0.72411,0.7995,0.58049,0.93926,0.74687,0.97788,0.0006734,0.0006734,0.0006734
69,10417.6,0.81949,0.57393,0.90777,0.77264,0.73519,0.804,0.58778,0.94933,0.72674,0.98399,0.0006536,0.0006536,0.0006536
70,10568.6,0.82845,0.5722,0.90477,0.79311,0.72251,0.79997,0.58335,0.94029,0.72575,0.97994,0.0006338,0.0006338,0.0006338
71,10719.5,0.82128,0.57318,0.90899,0.78942,0.72569,0.80389,0.58123,0.94486,0.73984,0.98087,0.000614,0.000614,0.000614
72,10870.4,0.81039,0.56164,0.90154,0.78847,0.73836,0.80959,0.59081,0.94291,0.72465,0.97984,0.0005942,0.0005942,0.0005942
73,11021.3,0.81579,0.5654,0.90652,0.79368,0.72949,0.80543,0.58319,0.961,0.73096,0.98946,0.0005744,0.0005744,0.0005744
74,11172.2,0.80958,0.56608,0.90735,0.79136,0.72886,0.80476,0.58269,0.95818,0.72599,0.9912,0.0005546,0.0005546,0.0005546
75,11323.2,0.80316,0.55693,0.90393,0.79173,0.7203,0.80616,0.58312,0.95687,0.72792,0.98999,0.0005348,0.0005348,0.0005348
76,11474.2,0.80746,0.56309,0.90071,0.78422,0.74374,0.80643,0.58797,0.93787,0.72715,0.97816,0.000515,0.000515,0.000515
77,11625.2,0.7977,0.55651,0.89873,0.79241,0.73773,0.80958,0.58954,0.94199,0.72364,0.98172,0.0004952,0.0004952,0.0004952
